Age Range,Deaths in Range,Surviving Members,Mortality Rate
0,12,151,0.0736196319018405
5,1,150,0.07975460122699386
10,1,149,0.08588957055214724
15,1,148,0.09202453987730061
20,4,144,0.1165644171779141
25,1,143,0.12269938650306748
30,5,138,0.15337423312883436
35,6,132,0.1901840490797546
40,2,130,0.20245398773006135
45,4,126,0.22699386503067484
50,6,120,0.26380368098159507
55,7,113,0.3067484662576687
60,14,99,0.39263803680981596
65,14,85,0.4785276073619632
70,28,57,0.6503067484662577
75,19,38,0.7668711656441718
80,23,15,0.9079754601226994
85,9,6,0.9631901840490797
90,4,2,0.9877300613496932
95,2,0,1.0
