Age Range,Deaths in Range,Surviving Members,Mortality Rate
0,8,142,0.05333333333333334
5,2,140,0.06666666666666667
10,4,136,0.09333333333333334
15,2,134,0.10666666666666667
20,9,125,0.16666666666666666
25,5,120,0.2
30,7,113,0.24666666666666667
35,4,109,0.2733333333333333
40,1,108,0.28
45,8,100,0.3333333333333333
50,8,92,0.38666666666666666
55,11,81,0.46
60,3,78,0.48
65,15,63,0.58
70,16,47,0.6866666666666666
75,17,30,0.8
80,11,19,0.8733333333333333
85,10,9,0.94
90,8,1,0.9933333333333333
100,1,0,1.0
