Age Range,Deaths in Range,Surviving Members,Mortality Rate
0,8,129,0.058394160583941604
5,1,128,0.06569343065693431
10,1,127,0.072992700729927
15,3,124,0.0948905109489051
20,2,122,0.10948905109489052
25,1,121,0.11678832116788321
30,2,119,0.13138686131386862
35,3,116,0.15328467153284672
40,6,110,0.19708029197080293
45,3,107,0.21897810218978103
50,3,104,0.24087591240875914
55,5,99,0.2773722627737226
60,9,90,0.34306569343065696
65,12,78,0.4306569343065693
70,12,66,0.5182481751824818
75,16,50,0.635036496350365
80,17,33,0.7591240875912408
85,17,16,0.8832116788321168
90,14,2,0.9854014598540146
95,1,1,0.9927007299270073
100,1,0,1.0
