Timestamp,Several Chinese manufacturers (Foxconn and Pegatron) of iPhones are known for their child labor violations. Would you buy a new iPhone?,Do you currently use an iPhone?
10/13/2023 12:08:41,Yes,Yes
10/13/2023 12:08:57,No!,Yes
10/13/2023 12:09:02,Yes,Yes
10/13/2023 12:09:17,No!,Yes
10/13/2023 12:09:28,No!,Yes
10/13/2023 12:09:42,No!,Yes
10/13/2023 12:10:01,Yes,Yes
10/13/2023 12:10:26,Yes,Yes
10/13/2023 12:10:28,Yes,Yes
10/13/2023 12:10:32,No!,Yes
10/13/2023 12:10:38,Yes,Yes
10/13/2023 12:10:43,No!,Yes
10/13/2023 12:11:16,Yes,Yes
10/13/2023 12:12:06,No!,Yes
10/13/2023 12:12:06,No!,Yes
10/13/2023 12:12:33,Yes,Yes
10/13/2023 12:12:38,Yes,Yes
10/13/2023 13:22:43,No!,Yes
10/13/2023 13:23:14,Yes,Yes
10/13/2023 13:23:14,No!,Yes
10/13/2023 13:23:18,Yes,Yes
10/13/2023 13:23:44,No!,Yes
10/13/2023 13:24:03,Yes,Yes
10/13/2023 13:24:34,Yes,Yes
10/13/2023 13:24:35,Yes,Yes
10/13/2023 13:25:40,Yes,Yes
10/13/2023 13:25:43,Yes,Yes
10/13/2023 13:25:43,No!,Yes
10/13/2023 13:26:53,Yes,Yes
10/16/2023 8:37:07,Yes,Yes
10/16/2023 8:37:28,Yes,Yes
10/16/2023 8:38:23,No!,No
10/16/2023 8:38:29,No!,Yes
10/16/2023 8:38:36,Yes,Yes
10/16/2023 8:38:36,Yes,No
10/16/2023 9:01:05,No!,Yes