Timestamp,Would you buy a new iPhone?,Do you currently use an iPhone? 
10/13/2023 12:08:25,Yes,Yes
10/13/2023 12:08:39,Yes,Yes
10/13/2023 12:09:28,Yes,Yes
10/13/2023 12:09:41,Yes,Yes
10/13/2023 12:09:55,Yes,Yes
10/13/2023 12:10:08,No,Yes
10/13/2023 12:10:36,No,No
10/13/2023 12:10:39,No,Yes
10/13/2023 12:12:34,Yes,Yes
10/13/2023 12:12:51,Yes,Yes
10/13/2023 12:13:30,Yes,Yes
10/13/2023 12:13:35,No,Yes
10/13/2023 12:14:45,Yes,Yes
10/13/2023 13:23:14,Yes,Yes
10/13/2023 13:23:47,Yes,Yes
10/13/2023 13:23:53,Yes,Yes
10/13/2023 13:23:59,No,No
10/13/2023 13:24:05,Yes,Yes
10/13/2023 13:24:18,Yes,Yes
10/13/2023 13:24:22,Yes,Yes
10/13/2023 13:24:28,Yes,Yes
10/16/2023 8:35:47,Yes,Yes
10/16/2023 8:36:46,Yes,Yes
10/16/2023 8:36:52,No,Yes
10/16/2023 8:37:11,No,Yes
10/16/2023 8:37:32,No,Yes
10/16/2023 8:37:52,Yes,No
10/16/2023 8:38:01,Yes,Yes
10/16/2023 8:39:14,No,No
10/16/2023 8:39:23,Yes,No
10/16/2023 8:41:25,Yes,Yes